cruise_id,cruise_group,cruise_start,cruise_end,cruise_sampling_window,cruise_duration_days,model_window_start,model_window_end,full_model_window,model_window_days,release_region_type,region,station,latitude,longitude,requested_release_timing,receiving_regions,requested_model_task,main_reason,interpretation_note
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,19,24.6095,-81.4215,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,20,24.57466667,-81.41833333,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,21.5,24.48166667,-81.39183333,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,21LK,24.53816667,-81.41383333,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,22,24.45533333,-81.82866667,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,22.5,24.39666667,-81.82916667,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,23,24.487,-81.82916667,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Lower Keys,24,24.5365,-81.82883333,Do not release particles from this station; use as receiving/check location.,Lower Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,10,24.78683333,-80.85966667,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,11,24.75366667,-80.84633333,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,12,24.71383333,-80.83083333,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,13,24.70083333,-81.02866667,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,14,24.67466667,-81.02316667,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,15,24.6415,-81.01683333,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,15.5,24.5925,-80.99166667,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,16,24.67466667,-81.20416667,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
WS0603,strong_selected_cruise,2006-01-18,2006-01-25,2006-01-18 to 2006-01-25,8,2006-01-11,2006-01-25,2006-01-11 to 2006-01-25,15,keys_receiving_check_point,Middle Keys,17,24.63633333,-81.19366667,Do not release particles from this station; use as receiving/check location.,Middle Keys,Use this Keys station/region as a receiving endpoint to evaluate whether particles approach or arrive near it.,Florida Keys receiving/check station sampled during the same cruise,This is not a release point. It is included to show the Keys receiving station/region sampled during the same cruise where particle arrival should be checked.
