cruise_id,model_window_start,model_window_end,region,station,latitude,longitude
WS0603,2006-01-11,2006-01-25,Lower Keys,19,24.6095,-81.4215
WS0603,2006-01-11,2006-01-25,Lower Keys,20,24.57466667,-81.41833333
WS0603,2006-01-11,2006-01-25,Lower Keys,21.5,24.48166667,-81.39183333
WS0603,2006-01-11,2006-01-25,Lower Keys,21LK,24.53816667,-81.41383333
WS0603,2006-01-11,2006-01-25,Lower Keys,22,24.45533333,-81.82866667
WS0603,2006-01-11,2006-01-25,Lower Keys,22.5,24.39666667,-81.82916667
WS0603,2006-01-11,2006-01-25,Lower Keys,23,24.487,-81.82916667
WS0603,2006-01-11,2006-01-25,Lower Keys,24,24.5365,-81.82883333
WS0603,2006-01-11,2006-01-25,Middle Keys,10,24.78683333,-80.85966667
WS0603,2006-01-11,2006-01-25,Middle Keys,11,24.75366667,-80.84633333
WS0603,2006-01-11,2006-01-25,Middle Keys,12,24.71383333,-80.83083333
WS0603,2006-01-11,2006-01-25,Middle Keys,13,24.70083333,-81.02866667
WS0603,2006-01-11,2006-01-25,Middle Keys,14,24.67466667,-81.02316667
WS0603,2006-01-11,2006-01-25,Middle Keys,15,24.6415,-81.01683333
WS0603,2006-01-11,2006-01-25,Middle Keys,15.5,24.5925,-80.99166667
WS0603,2006-01-11,2006-01-25,Middle Keys,16,24.67466667,-81.20416667
WS0603,2006-01-11,2006-01-25,Middle Keys,17,24.63633333,-81.19366667
WS0603,2006-01-11,2006-01-25,Middle Keys,18,24.59916667,-81.18366667
WS0603,2006-01-11,2006-01-25,Middle Keys,7,24.819,-80.75616667
WS0603,2006-01-11,2006-01-25,Middle Keys,8,24.79166667,-80.74083333
WS0603,2006-01-11,2006-01-25,Middle Keys,9,24.76316667,-80.72266667
WS0603,2006-01-11,2006-01-25,Middle Keys,9.5,24.71633333,-80.68933333
WS0603,2006-01-11,2006-01-25,Upper Keys,1,25.64416667,-80.12716667
WS0603,2006-01-11,2006-01-25,Upper Keys,2,25.64166667,-80.10516667
WS0603,2006-01-11,2006-01-25,Upper Keys,3,25.645,-80.084
WS0603,2006-01-11,2006-01-25,Upper Keys,4,25.10833333,-80.38
WS0603,2006-01-11,2006-01-25,Upper Keys,5,25.09316667,-80.35483333
WS0603,2006-01-11,2006-01-25,Upper Keys,5.5,25.07733333,-80.33366667
WS0603,2006-01-11,2006-01-25,Upper Keys,6,25.065,-80.31483333
WS0603,2006-01-11,2006-01-25,Upper Keys,6.5,25.049,-80.28683333
WS1015,2010-08-09,2010-08-20,Lower Keys,19,24.60833333,-81.42116667
WS1015,2010-08-09,2010-08-20,Lower Keys,21.5,24.486,-81.3875
WS1015,2010-08-09,2010-08-20,Lower Keys,21LK,24.53716667,-81.41333333
WS1015,2010-08-09,2010-08-20,Lower Keys,22,24.4555,-81.82783333
